"controlNumber","invTime","rho_x","rho_y","rho_xy","omega","tau","post_Inv_Length","timeLength","Sd_gap_1","Sd_gap_n"
10,10,0.1,0.1,0.1,0,0,1,11,0.1692,0.1692
30,10,0.1,0.1,0.1,0,0,1,11,0.118,0.118
10,40,0.1,0.1,0.1,0,0,1,41,0.1717,0.1717
30,40,0.1,0.1,0.1,0,0,1,41,0.1298,0.1298
10,10,0.5,0.1,0.1,0,0,1,11,0.2012,0.2012
30,10,0.5,0.1,0.1,0,0,1,11,0.1508,0.1508
10,40,0.5,0.1,0.1,0,0,1,41,0.1835,0.1835
30,40,0.5,0.1,0.1,0,0,1,41,0.1404,0.1404
10,10,0.1,0.5,0.1,0,0,1,11,0.4842,0.4842
30,10,0.1,0.5,0.1,0,0,1,11,0.4906,0.4906
10,40,0.1,0.5,0.1,0,0,1,41,0.4812,0.4812
30,40,0.1,0.5,0.1,0,0,1,41,0.4963,0.4963
10,10,0.5,0.5,0.1,0,0,1,11,0.5204,0.5204
30,10,0.5,0.5,0.1,0,0,1,11,0.5409,0.5409
10,40,0.5,0.5,0.1,0,0,1,41,0.5438,0.5438
30,40,0.5,0.5,0.1,0,0,1,41,0.5018,0.5018
10,10,0.1,0.1,0.5,0,0,1,11,0.1871,0.1871
30,10,0.1,0.1,0.5,0,0,1,11,0.1394,0.1394
10,40,0.1,0.1,0.5,0,0,1,41,0.1833,0.1833
30,40,0.1,0.1,0.5,0,0,1,41,0.1288,0.1288
10,10,0.5,0.1,0.5,0,0,1,11,0.2114,0.2114
30,10,0.5,0.1,0.5,0,0,1,11,0.166,0.166
10,40,0.5,0.1,0.5,0,0,1,41,0.1964,0.1964
30,40,0.5,0.1,0.5,0,0,1,41,0.1451,0.1451
10,10,0.1,0.5,0.5,0,0,1,11,0.5558,0.5558
30,10,0.1,0.5,0.5,0,0,1,11,0.5033,0.5033
10,40,0.1,0.5,0.5,0,0,1,41,0.5354,0.5354
30,40,0.1,0.5,0.5,0,0,1,41,0.4948,0.4948
10,10,0.5,0.5,0.5,0,0,1,11,0.5048,0.5048
30,10,0.5,0.5,0.5,0,0,1,11,0.557,0.557
10,40,0.5,0.5,0.5,0,0,1,41,0.556,0.556
30,40,0.5,0.5,0.5,0,0,1,41,0.5579,0.5579
10,10,0.1,0.1,0.1,0.5,0,1,11,0.1207,0.1207
30,10,0.1,0.1,0.1,0.5,0,1,11,0.1084,0.1084
10,40,0.1,0.1,0.1,0.5,0,1,41,0.1309,0.1309
30,40,0.1,0.1,0.1,0.5,0,1,41,0.1153,0.1153
10,10,0.5,0.1,0.1,0.5,0,1,11,0.1552,0.1552
30,10,0.5,0.1,0.1,0.5,0,1,11,0.1431,0.1431
10,40,0.5,0.1,0.1,0.5,0,1,41,0.1669,0.1669
30,40,0.5,0.1,0.1,0.5,0,1,41,0.14,0.14
10,10,0.1,0.5,0.1,0.5,0,1,11,0.5345,0.5345
30,10,0.1,0.5,0.1,0.5,0,1,11,0.4995,0.4995
10,40,0.1,0.5,0.1,0.5,0,1,41,0.5472,0.5472
30,40,0.1,0.5,0.1,0.5,0,1,41,0.4472,0.4472
10,10,0.5,0.5,0.1,0.5,0,1,11,0.5433,0.5433
30,10,0.5,0.5,0.1,0.5,0,1,11,0.4957,0.4957
10,40,0.5,0.5,0.1,0.5,0,1,41,0.4618,0.4618
30,40,0.5,0.5,0.1,0.5,0,1,41,0.5121,0.5121
10,10,0.1,0.1,0.5,0.5,0,1,11,0.1509,0.1509
30,10,0.1,0.1,0.5,0.5,0,1,11,0.1298,0.1298
