"controlNumber","invTime","rho_x","rho_y","rho_xy","omega","tau","post_Inv_Length","timeLength"
10,10,0.1,0.1,0.1,0,0,1,11
30,10,0.1,0.1,0.1,0,0,1,11
10,40,0.1,0.1,0.1,0,0,1,41
30,40,0.1,0.1,0.1,0,0,1,41
10,10,0.5,0.1,0.1,0,0,1,11
30,10,0.5,0.1,0.1,0,0,1,11
10,40,0.5,0.1,0.1,0,0,1,41
30,40,0.5,0.1,0.1,0,0,1,41
10,10,0.1,0.5,0.1,0,0,1,11
30,10,0.1,0.5,0.1,0,0,1,11
10,40,0.1,0.5,0.1,0,0,1,41
30,40,0.1,0.5,0.1,0,0,1,41
10,10,0.5,0.5,0.1,0,0,1,11
30,10,0.5,0.5,0.1,0,0,1,11
10,40,0.5,0.5,0.1,0,0,1,41
30,40,0.5,0.5,0.1,0,0,1,41
10,10,0.1,0.1,0.5,0,0,1,11
30,10,0.1,0.1,0.5,0,0,1,11
10,40,0.1,0.1,0.5,0,0,1,41
30,40,0.1,0.1,0.5,0,0,1,41
10,10,0.5,0.1,0.5,0,0,1,11
30,10,0.5,0.1,0.5,0,0,1,11
10,40,0.5,0.1,0.5,0,0,1,41
30,40,0.5,0.1,0.5,0,0,1,41
10,10,0.1,0.5,0.5,0,0,1,11
30,10,0.1,0.5,0.5,0,0,1,11
10,40,0.1,0.5,0.5,0,0,1,41
30,40,0.1,0.5,0.5,0,0,1,41
10,10,0.5,0.5,0.5,0,0,1,11
30,10,0.5,0.5,0.5,0,0,1,11
10,40,0.5,0.5,0.5,0,0,1,41
30,40,0.5,0.5,0.5,0,0,1,41
10,10,0.1,0.1,0.1,0,0,1,11
30,10,0.1,0.1,0.1,0,0,1,11
10,40,0.1,0.1,0.1,0,0,1,41
30,40,0.1,0.1,0.1,0,0,1,41
10,10,0.5,0.1,0.1,0,0,1,11
30,10,0.5,0.1,0.1,0,0,1,11
10,40,0.5,0.1,0.1,0,0,1,41
30,40,0.5,0.1,0.1,0,0,1,41
10,10,0.1,0.5,0.1,0,0,1,11
30,10,0.1,0.5,0.1,0,0,1,11
10,40,0.1,0.5,0.1,0,0,1,41
30,40,0.1,0.5,0.1,0,0,1,41
10,10,0.5,0.5,0.1,0,0,1,11
30,10,0.5,0.5,0.1,0,0,1,11
10,40,0.5,0.5,0.1,0,0,1,41
30,40,0.5,0.5,0.1,0,0,1,41
10,10,0.1,0.1,0.5,0,0,1,11
30,10,0.1,0.1,0.5,0,0,1,11
10,40,0.1,0.1,0.5,0,0,1,41
30,40,0.1,0.1,0.5,0,0,1,41
10,10,0.5,0.1,0.5,0,0,1,11
30,10,0.5,0.1,0.5,0,0,1,11
10,40,0.5,0.1,0.5,0,0,1,41
30,40,0.5,0.1,0.5,0,0,1,41
10,10,0.1,0.5,0.5,0,0,1,11
30,10,0.1,0.5,0.5,0,0,1,11
10,40,0.1,0.5,0.5,0,0,1,41
30,40,0.1,0.5,0.5,0,0,1,41
10,10,0.5,0.5,0.5,0,0,1,11
30,10,0.5,0.5,0.5,0,0,1,11
10,40,0.5,0.5,0.5,0,0,1,41
30,40,0.5,0.5,0.5,0,0,1,41
10,10,0.1,0.1,0.1,5,0,1,11
30,10,0.1,0.1,0.1,5,0,1,11
10,40,0.1,0.1,0.1,5,0,1,41
30,40,0.1,0.1,0.1,5,0,1,41
10,10,0.5,0.1,0.1,5,0,1,11
30,10,0.5,0.1,0.1,5,0,1,11
10,40,0.5,0.1,0.1,5,0,1,41
30,40,0.5,0.1,0.1,5,0,1,41
10,10,0.1,0.5,0.1,5,0,1,11
30,10,0.1,0.5,0.1,5,0,1,11
10,40,0.1,0.5,0.1,5,0,1,41
30,40,0.1,0.5,0.1,5,0,1,41
10,10,0.5,0.5,0.1,5,0,1,11
30,10,0.5,0.5,0.1,5,0,1,11
10,40,0.5,0.5,0.1,5,0,1,41
30,40,0.5,0.5,0.1,5,0,1,41
10,10,0.1,0.1,0.5,5,0,1,11
30,10,0.1,0.1,0.5,5,0,1,11
10,40,0.1,0.1,0.5,5,0,1,41
30,40,0.1,0.1,0.5,5,0,1,41
10,10,0.5,0.1,0.5,5,0,1,11
30,10,0.5,0.1,0.5,5,0,1,11
10,40,0.5,0.1,0.5,5,0,1,41
30,40,0.5,0.1,0.5,5,0,1,41
10,10,0.1,0.5,0.5,5,0,1,11
30,10,0.1,0.5,0.5,5,0,1,11
10,40,0.1,0.5,0.5,5,0,1,41
30,40,0.1,0.5,0.5,5,0,1,41
10,10,0.5,0.5,0.5,5,0,1,11
30,10,0.5,0.5,0.5,5,0,1,11
